,code_MIC,code_pref,type,prefecture_j,prefecture_s,prefecture_en,prefecture_kana,総数,0歳から4歳,5歳から9歳,10歳から14歳,15歳から19歳,20歳から24歳,25歳から29歳,30歳から34歳,35歳から39歳,40歳から44歳,45歳から49歳,50歳から54歳,55歳から59歳,60歳から64歳,65歳から69歳,70歳から74歳,75歳から79歳,80歳から84歳,85歳から89歳,90歳から94歳,95歳から99歳,100歳以上
0,0.0,0.0,その他,全国,全国,ALL,ゼンコク,126654244,4621309,5211705,5486117,5718763,6378448,6444436,6776236,7598587,8504661,9921268,8802532,8009177,7412444,8098504,9337199,6890236,5356401,3702141,1782093,521292,80637
1,10006.0,1.0,都道府県,北海道,北海道,Hokkaido,ホッカイドウ,5228732,163053,191324,206274,220374,229785,231610,252800,293077,339246,394320,351510,345760,338612,394130,429532,307187,246784,175632,86277,25458,3858
2,20001.0,2.0,都道府県,青森県,青森,Aomori,アオモリケン,1260067,38423,44932,49399,55055,49729,49263,55090,67662,78115,88559,84192,86858,91769,102630,106429,73827,62831,47140,21412,5601,699
3,30007.0,3.0,都道府県,岩手県,岩手,Iwate,イワテケン,1221205,37893,45814,50623,54419,49133,49345,54967,66008,76300,84080,77426,80933,85933,96420,97298,70160,63518,48522,24328,6787,916
4,40002.0,4.0,都道府県,宮城県,宮城,Miyagi,ミヤギケン,2282106,80065,93466,98615,104783,113335,112247,124393,143432,158880,171908,148703,142556,145175,161016,164186,112709,93041,68356,34218,9547,1358
5,50008.0,5.0,都道府県,秋田県,秋田,Akita,アキタケン,971604,25524,31730,36488,38987,34081,33424,39486,49499,59121,63783,58882,65032,73522,84357,87202,59851,55985,44765,22803,5999,767
6,60003.0,6.0,都道府県,山形県,山形,Yamagata,ヤマガタケン,1070017,34381,40941,45351,48889,44153,42242,49288,58422,66704,70141,64305,68965,75794,84874,86238,59829,54339,43293,23876,6657,880
7,70009.0,7.0,都道府県,福島県,福島,Fukushima,フクシマケン,1862777,63108,72110,78300,87314,83797,83031,91866,104138,116998,127928,115694,122398,132834,146606,142924,98822,84159,64912,34212,9575,1333
8,80004.0,8.0,都道府県,茨城県,茨城,Ibaraki,イバラキケン,2907678,99487,116832,127230,135415,142372,138356,150808,171708,192666,224605,196758,180326,180475,208311,225456,164008,121475,78868,39414,11489,1616
9,90000.0,9.0,都道府県,栃木県,栃木,Tochigi,トチギケン,1955402,67909,79400,86250,90898,92866,93318,103268,117803,132771,151767,130418,121530,124172,141813,151658,102788,77135,53427,27122,8034,1054
10,100005.0,10.0,都道府県,群馬県,群馬,Gunma,グンマケン,1958185,66286,77332,86364,93666,98707,92967,97072,109723,128270,152385,133927,121865,117345,134746,154478,111474,83200,58022,30196,8744,1332
11,110001.0,11.0,都道府県,埼玉県,埼玉,Saitama,サイタマケン,7393849,268665,302458,319212,332100,388355,396488,409063,457649,516654,623303,549834,466542,403774,447991,538285,416168,296553,169822,69119,18835,2929
12,120006.0,12.0,都道府県,千葉県,千葉,Chiba,チバケン,6322897,225871,254305,270050,282950,331540,334320,346450,389501,434714,522268,464298,396073,348751,388704,467326,358758,259462,157701,68239,18739,2872
13,130001.0,13.0,都道府県,東京都,東京,Tokyo,トウキョウト,13843525,528572,543911,528135,535273,785532,948600,943139,1003665,1056837,1173785,1061006,895835,700504,679769,807883,627315,489134,335981,149458,42354,6641
14,140007.0,14.0,都道府県,神奈川県,神奈川,Kanagawa,カナガワケン,9220245,337183,376326,394394,409498,493086,508250,513330,577692,655206,785881,730881,615918,495275,510479,615860,482916,359437,227378,98983,27918,4315
15,150002.0,15.0,都道府県,新潟県,新潟,Niigata,ニイガタケン,2213353,71859,85556,92893,98150,95914,93199,104982,121828,142232,158159,142267,140183,145694,167548,180761,125070,107096,81199,43282,13234,2068
16,160008.0,16.0,都道府県,富山県,富山,Toyama,トヤマケン,1047713,34812,39435,43782,47918,49441,46561,48843,55805,66847,82827,69286,63643,62072,71089,90539,64403,48266,36512,18855,5865,873
17,170003.0,17.0,都道府県,石川県,石川,Ishikawa,イシカワケン,1132656,41694,47264,50377,54689,58858,52990,55807,62477,73832,89283,74450,68699,66885,73258,92524,64254,46405,34449,18028,5518,915
18,180009.0,18.0,都道府県,福井県,福井,Fukui,フクイケン,774596,28663,32507,35784,37224,37369,36012,38816,42807,48880,56218,48691,48889,48680,53269,60102,42521,33227,26256,13840,4206,622
19,190004.0,19.0,都道府県,山梨県,山梨,Yamanashi,ヤマナシケン,821094,28051,31753,34813,39253,40409,37064,38749,43838,50090,60038,57418,55206,52919,57582,62897,46588,36957,26886,14820,4877,789
20,200000.0,20.0,都道府県,長野県,長野,Nagano,ナガノケン,2072219,71755,84116,92413,98183,93329,89019,95854,109449,132239,154924,138469,130293,127187,138853,161035,123525,98117,74441,43211,13286,2039
21,210005.0,21.0,都道府県,岐阜県,岐阜,Gifu,ギフケン,2016868,70502,84517,92172,97816,101672,91582,97755,110822,128059,153734,134675,127862,121086,133927,159246,117076,91272,62331,30701,8676,1308
22,220001.0,22.0,都道府県,静岡県,静岡,Shizuoka,シズオカケン,3686335,128162,151757,164347,170622,172974,171051,186044,212091,238179,282531,252543,234298,224934,248527,283927,214102,164794,112254,54497,16178,2448
23,230006.0,23.0,都道府県,愛知県,愛知,Aichi,アイチケン,7558872,305893,338535,352228,360306,419346,427251,439285,476431,522088,621589,540887,469939,397838,414928,508483,390331,289320,180461,78871,21602,3190
24,240001.0,24.0,都道府県,三重県,三重,Mie,ミエケン,1800756,62969,74074,80617,84890,89788,85526,91038,100634,114426,138772,121633,116063,107897,116809,137994,102946,80832,56728,27879,7887,1155
25,250007.0,25.0,都道府県,滋賀県,滋賀,Shiga,シガケン,1418886,58034,67248,70264,71947,74868,70303,77287,86653,98045,112199,94630,86703,80340,86484,99592,70755,52339,36472,18492,5338,850
26,260002.0,26.0,都道府県,京都府,京都,Kyoto,キョウトフ,2530609,89818,101472,108694,116921,138039,124335,127759,142999,166434,201550,175936,157355,139463,152754,201200,148765,111281,76483,36430,10969,1885
27,270008.0,27.0,都道府県,大阪府,大阪,Osaka,オオサカフ,8839532,326249,354672,375333,402530,488222,491248,490505,523879,588713,733372,658542,561107,459527,499397,640030,506178,379511,233071,97008,26251,4166
28,280003.0,28.0,都道府県,兵庫県,兵庫,Hyogo,ヒョウゴケン,5523627,203469,233196,247674,258721,279099,260234,278920,315934,359566,441471,393033,355651,320225,346873,417847,313748,235102,161896,75797,21861,3308
29,290009.0,29.0,都道府県,奈良県,奈良,Nara,ナラケン,1344952,45029,53696,58695,64252,65698,57325,62405,71142,82573,102459,92988,87004,81326,91818,111981,84950,63400,41301,19940,5840,917
30,300004.0,30.0,都道府県,和歌山県,和歌山,Wakayama,ワカヤマケン,944750,31078,36680,39326,42366,42444,39572,43661,48913,55460,69068,62449,62754,60876,66761,79171,59348,46663,34495,17488,5073,786
31,310000.0,31.0,都道府県,鳥取県,鳥取,Tottori,トットリケン,556959,20849,23801,24617,25885,24243,23110,26547,31687,35322,38883,32556,33990,37030,41750,44253,30149,25448,20611,11689,3757,611
32,320005.0,32.0,都道府県,島根県,島根,Shimane,シマネケン,672979,24696,28449,29625,30762,28030,27443,30687,35627,40786,45168,38492,39682,43833,49628,57222,38585,33298,28917,15771,5248,866
33,330001.0,33.0,都道府県,岡山県,岡山,Okayama,オカヤマケン,1893874,72264,81159,85564,89800,97181,91813,96771,107576,119694,143458,118803,109990,111219,120778,147426,109687,82923,63200,33004,9863,1618
34,340006.0,34.0,都道府県,広島県,広島,Hiroshima,ヒロシマケン,2812477,106573,123058,128271,130740,140808,137266,145698,161275,182608,220065,185573,166771,161830,178916,217400,161270,118562,85266,44066,14055,2362
35,350001.0,35.0,都道府県,山口県,山口,Yamaguchi,ヤマグチケン,1356144,45341,53484,57859,60743,59583,55206,59994,70910,81329,97954,83680,79264,84983,99965,121178,87270,69297,52177,26205,8307,1381
36,360007.0,36.0,都道府県,徳島県,徳島,Tokushima,トクシマケン,735070,24493,28399,30062,32115,31857,29900,34359,40704,45598,52559,45571,45785,48740,56757,63608,42173,35103,27752,14579,4244,591
37,370002.0,37.0,都道府県,香川県,香川,Kagawa,カガワケン,973922,34873,40643,43059,45474,46074,43080,47841,54519,63886,74257,61065,57051,59215,66209,81631,54525,43023,33594,17730,5238,909
38,380008.0,38.0,都道府県,愛媛県,愛媛,Ehime,エヒメケン,1356343,45548,54397,58778,60956,58747,56509,63252,73539,84502,99091,84612,85066,87756,98978,114497,79441,65136,49358,26655,8121,1280
39,390003.0,39.0,都道府県,高知県,高知,Kochi,コウチケン,701531,22450,25964,28198,30749,28539,26821,29686,36643,42869,50754,42476,43980,45707,52283,63055,44366,35365,28981,16206,5235,840
40,400009.0,40.0,都道府県,福岡県,福岡,Fukuoka,フクオカケン,5124259,210675,233901,237797,236281,268689,263806,278530,320178,349890,383491,327486,300844,300135,338062,374139,256601,203638,144118,70558,21859,3492
41,410004.0,41.0,都道府県,佐賀県,佐賀,Saga,サガケン,818251,32804,37692,39804,40138,38601,35883,39766,46904,51584,54255,48946,50084,54167,61558,61720,41504,35563,27568,14381,4595,705
42,420000.0,42.0,都道府県,長崎県,長崎,Nagasaki,ナガサキケン,1336023,50083,57254,59953,61264,55027,53085,61254,71035,78482,89310,82524,85827,93323,106402,109096,73226,64746,49348,25290,8129,1280
43,430005.0,43.0,都道府県,熊本県,熊本,Kumamoto,クマモトケン,1758815,70453,80043,82496,81086,78217,76682,85983,100441,108886,115674,104029,108876,117103,130574,133712,91983,81536,64062,34083,10939,1787
44,440001.0,44.0,都道府県,大分県,大分,Oita,オオイタケン,1141784,40983,47365,50622,51249,51270,48096,53555,62567,71822,78693,68153,67895,74227,85431,94946,66562,55097,42777,22614,6801,1016
45,450006.0,45.0,都道府県,宮崎県,宮崎,Miyazaki,ミヤザキケン,1087372,42167,49123,51802,50522,44733,43534,49980,60174,67654,72499,63025,66581,74823,84170,88014,58543,51401,40247,20825,6358,1066
46,460001.0,46.0,都道府県,鹿児島県,鹿児島,Kagoshima,カゴシマケン,1617850,63756,74054,76574,74200,64143,65320,76140,91952,98458,102543,94353,101639,115879,128892,122973,83714,76271,61238,32923,10772,1723
47,470007.0,47.0,都道府県,沖縄県,沖縄,Okinawa,オキナワケン,1485484,78778,85509,84897,81256,77134,78465,86277,96243,100390,108997,94765,89179,91255,96207,80111,50196,48321,33849,16704,5365,1220
